"","longitude","latitude","long_sc","lat_sc","elevation","nearest_water_type","nearest_water_lat","nearest_water_lon","nearest_water_lat_sc","nearest_water_lon_sc","geo_region_5000","geo_region_4_5000","geo_region_3200","cat_5000","cat_4_5000","cat_3200","cat_math"
"3165",30.15,1,0.621306550849484,1.04412334260091,-0.424104580059599,"lake",1.04481206526233,30.4918593028743,1.0459437029723,0.665568866220214,"savanna","savanna","savanna",6,6,6,18
"3166",30.65,1,0.683033862419766,1.04412334260091,0.757360885132317,"lake",1.03156567954142,30.6040120353115,1.04466394027546,0.679605497132192,"savanna","savanna","savanna",6,6,6,18
"3167",31.15,1,0.744761173990046,1.04412334260091,0.586704762382374,"lake",1.17492100945455,30.7143985829859,1.05851381657233,0.693421078738468,"savanna","savanna","savanna",6,6,6,18
"3168",31.65,1,0.806488485560329,1.04412334260091,0.553886277238154,"lake",1.61440665126213,31.1839093657609,1.10097349893624,0.752183352503822,"savanna","savanna","savanna",6,6,6,18
"3169",32.15,1,0.86821579713061,1.04412334260091,0.501376701007402,"lake",1.40864612639709,32.5715418610596,1.08109451837872,0.925854423682442,"savanna","savanna","savanna",6,6,6,18
"3170",32.65,1,0.929943108700892,1.04412334260091,0.551698378228539,"river",1.08263580936911,32.93603515625,1.04959793876026,0.971473088010072,"savanna","savanna","savanna",6,6,6,18
"3171",33.15,1,0.991670420271174,1.04412334260091,0.464182417843953,"river",0.95014069218162,32.954345703125,1.03679729169608,0.973764769921833,"savanna","savanna","savanna",6,6,6,18
"3172",33.65,1,1.05339773184146,1.04412334260091,0.468558215863182,"lake",1.21583762312585,33.2697735706159,1.062466861347,1.013242582536,"savanna","savanna","savanna",6,6,6,18
"3173",34.15,1,1.11512504341174,1.04412334260091,0.604207954459291,"lake",0.265630220744811,33.9818403941474,0.970665217227304,1.10236229428421,"savanna","savanna","savanna",6,6,6,18
"3174",34.65,1,1.17685235498202,1.04412334260091,4.58180835393874,"lake",0.265630220744811,33.9818403941474,0.970665217227304,1.10236229428421,"scrub","scrub","savanna",5,5,6,16
"3175",35.15,1,1.2385796665523,1.04412334260091,2.21231372652607,"lake",-0.0858405470503953,34.736590016113,0.936708847004591,1.19682403092019,"woodland","woodland","savanna",4,4,6,14
"3176",35.65,1,1.30030697812258,1.04412334260091,0.324156881228614,"lake",-0.0858405470503953,34.736590016113,0.936708847004591,1.19682403092019,"woodland","woodland","savanna",4,4,6,14
"3177",36.15,1,1.36203428969286,1.04412334260091,-0.019343263280887,"lake",2.39447158816105,36.5581152348038,1.17633730219436,1.4247995481992,"woodland","woodland","savanna",4,4,6,14
"3178",36.65,1,1.42376160126315,1.04412334260091,2.3217086770068,"lake",2.39447158816105,36.5581152348038,1.17633730219436,1.4247995481992,"woodland","woodland","tropical_rainforest",4,4,3,11
"3179",37.15,1,1.48548891283343,1.04412334260091,0.871131633632279,"lake",2.40447996848351,36.627879532934,1.17730423400974,1.43353099577437,"woodland","woodland","woodland",4,4,4,12
"3180",37.65,1,1.54721622440371,1.04412334260091,0.0659847980940847,"river",-0.0795223937558802,38.2515625,0.937319257804153,1.63674529141836,"tropical_rainforest","woodland","tropical_rainforest",3,4,3,10
"3181",38.15,1,1.60894353597399,1.04412334260091,-0.544439025588405,"river",-0.0526669250058802,38.3140625,0.939913824189004,1.64456756567717,"tropical_rainforest","woodland","tropical_rainforest",3,4,3,10
"3182",38.65,1,1.67067084754427,1.04412334260091,-1.21393612253049,"river",-0.0238583312558802,38.573486328125,0.942697086310936,1.67703611500299,"woodland","woodland","tropical_rainforest",4,4,3,11
"3183",39.15,1,1.73239815911456,1.04412334260091,-1.39115594230928,"river",1.62775299686912,39.928125,1.10226291897932,1.84657779841095,"scrub","scrub","tropical_rainforest",5,5,3,13
"3184",39.65,1,1.79412547068484,1.04412334260091,-1.33864636607853,"river",1.56415436405662,40.00107421875,1.09611851404065,1.8557078591474,"savanna","savanna","tropical_rainforest",6,6,3,15
"3185",40.15,1,1.85585278225512,1.04412334260091,-1.46116871061695,"river",1.40009186405662,40.26953125,1.08026807212592,1.88930697154969,"savanna","savanna","woodland",6,6,4,16
"3186",9.65,1.5,-1.90951322353207,1.09246465232477,-1.78935356205915,"river",1.60004303593162,9.74453125000002,1.0995857982095,-1.93109177645324,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3187",10.15,1.5,-1.84778591196179,1.09246465232477,-0.476614156290351,"river",1.67829010624412,10.107421875,1.10714542117627,-1.88567369653803,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3188",10.65,1.5,-1.7860586003915,1.09246465232477,-0.41972878204037,"river",1.56000397343162,10.666015625,1.09571753559935,-1.81576212034991,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3189",11.15,1.5,-1.72433128882122,1.09246465232477,-0.417540883030755,"river",1.52912018436912,11.1484375,1.09273378425677,-1.75538394091472,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3190",11.65,1.5,-1.66260397725094,1.09246465232477,-0.397849791944223,"river",1.45587799686912,11.658203125,1.08565769411627,-1.6915835164913,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3191",12.15,1.5,-1.60087666568066,1.09246465232477,-0.627579187953762,"river",1.57672760624412,11.907958984375,1.0973332428481,-1.66032497521488,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3192",12.65,1.5,-1.53914935411038,1.09246465232477,-0.675712966165285,"river",2.04511139530662,12.533837890625,1.14258483929663,-1.58199223189501,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3193",13.15,1.5,-1.4774220425401,1.09246465232477,-0.761041027540256,"river",1.17829010624412,13.129150390625,1.05883931248376,-1.50748506957985,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3194",13.65,1.5,-1.41569473096981,1.09246465232477,-0.765416825559486,"river",1.17829010624412,13.129150390625,1.05883931248376,-1.50748506957985,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3195",14.15,1.5,-1.35396741939953,1.09246465232477,-0.736974138434495,"river",2.21149323124412,14.558984375,1.15865935739914,-1.32853221245426,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3196",14.65,1.5,-1.29224010782925,1.09246465232477,-0.531311631530717,"river",2.09972565311911,14.719970703125,1.14786124384473,-1.30838374508606,"tropical_rainforest","tropical_rainforest","savanna",3,3,6,12
"3197",15.15,1.5,-1.23051279625897,1.09246465232477,-0.938260847319044,"river",2.09972565311911,14.719970703125,1.14786124384473,-1.30838374508606,"tropical_rainforest","tropical_rainforest","savanna",3,3,6,12
"3198",15.65,1.5,-1.16878548468869,1.09246465232477,-0.846369088915228,"river",1.62457916874412,16.0697265625,1.10195628840657,-1.13945317685458,"tropical_rainforest","tropical_rainforest","savanna",3,3,6,12
"3199",16.15,1.5,-1.10705817311841,1.09246465232477,-1.12204436412668,"river",1.49245026249412,16.158349609375,1.08919102179309,-1.12836143640166,"tropical_rainforest","tropical_rainforest","savanna",3,3,6,12
